path,state
dataset1/train_set\photo-0.png,unmanned
dataset1/train_set\photo-1.png,unmanned
dataset1/train_set\photo-2.png,unmanned
dataset1/train_set\photo-3.png,unmanned
dataset1/train_set\photo-4.png,unmanned
dataset1/train_set\photo-5.png,unmanned
dataset1/train_set\photo-6.png,unmanned
dataset1/train_set\photo-7.png,unmanned
dataset1/train_set\photo-8.png,unmanned
dataset1/train_set\photo-9.png,unmanned
dataset1/train_set\photo-10.png,unmanned
dataset1/train_set\photo-11.png,unmanned
dataset1/train_set\photo-12.png,unmanned
dataset1/train_set\photo-13.png,unmanned
dataset1/train_set\photo-14.png,unmanned
dataset1/train_set\photo-15.png,unmanned
dataset1/train_set\photo-16.png,unmanned
dataset1/train_set\photo-17.png,unmanned
dataset1/train_set\photo-18.png,unmanned
dataset1/train_set\photo-19.png,unmanned
dataset1/train_set\photo-20.png,unmanned
dataset1/train_set\photo-21.png,unmanned
dataset1/train_set\photo-22.png,unmanned
dataset1/train_set\photo-23.png,unmanned
dataset1/train_set\photo-24.png,unmanned
dataset1/train_set\photo-25.png,unmanned
dataset1/train_set\photo-26.png,unmanned
dataset1/train_set\photo-27.png,unmanned
dataset1/train_set\photo-28.png,unmanned
dataset1/train_set\photo-29.png,unmanned
dataset1/train_set\photo-30.png,unmanned
dataset1/train_set\photo-31.png,unmanned
dataset1/train_set\photo-32.png,unmanned
dataset1/train_set\photo-33.png,unmanned
dataset1/train_set\photo-34.png,unmanned
dataset1/train_set\photo-35.png,unmanned
dataset1/train_set\photo-36.png,unmanned
dataset1/train_set\photo-37.png,unmanned
dataset1/train_set\photo-38.png,unmanned
dataset1/train_set\photo-39.png,unmanned
dataset1/train_set\photo-40.png,unmanned
dataset1/train_set\photo-41.png,unmanned
dataset1/train_set\photo-42.png,unmanned
dataset1/train_set\photo-43.png,unmanned
dataset1/train_set\photo-44.png,unmanned
dataset1/train_set\photo-45.png,unmanned
dataset1/train_set\photo-46.png,unmanned
dataset1/train_set\photo-47.png,unmanned
dataset1/train_set\photo-48.png,unmanned
dataset1/train_set\photo-49.png,unmanned
dataset1/train_set\photo-50.png,unmanned
dataset1/train_set\photo-51.png,unmanned
dataset1/train_set\photo-52.png,unmanned
dataset1/train_set\photo-53.png,unmanned
dataset1/train_set\photo-54.png,unmanned
dataset1/train_set\photo-55.png,unmanned
dataset1/train_set\photo-56.png,unmanned
dataset1/train_set\photo-57.png,unmanned
dataset1/train_set\photo-58.png,unmanned
