path,state
dataset2/train_set\train-0.png,unmanned
dataset2/train_set\train-1.png,unmanned
dataset2/train_set\train-2.png,unmanned
dataset2/train_set\train-3.png,unmanned
dataset2/train_set\train-4.png,unmanned
dataset2/train_set\train-5.png,unmanned
dataset2/train_set\train-6.png,unmanned
dataset2/train_set\train-7.png,unmanned
dataset2/train_set\train-8.png,unmanned
dataset2/train_set\train-9.png,unmanned
dataset2/train_set\train-10.png,unmanned
dataset2/train_set\train-11.png,unmanned
dataset2/train_set\train-12.png,unmanned
dataset2/train_set\train-13.png,unmanned
dataset2/train_set\train-14.png,unmanned
dataset2/train_set\train-15.png,unmanned
dataset2/train_set\train-16.png,unmanned
dataset2/train_set\train-17.png,unmanned
dataset2/train_set\train-18.png,unmanned
dataset2/train_set\train-19.png,unmanned
dataset2/train_set\train-20.png,unmanned
dataset2/train_set\train-21.png,unmanned
dataset2/train_set\train-22.png,unmanned
dataset2/train_set\train-23.png,unmanned
dataset2/train_set\train-24.png,unmanned
dataset2/train_set\train-25.png,unmanned
dataset2/train_set\train-26.png,unmanned
dataset2/train_set\train-27.png,unmanned
dataset2/train_set\train-28.png,unmanned
dataset2/train_set\train-29.png,unmanned
dataset2/train_set\train-30.png,unmanned
dataset2/train_set\train-31.png,unmanned
dataset2/train_set\train-32.png,unmanned
dataset2/train_set\train-33.png,unmanned
dataset2/train_set\train-34.png,unmanned
dataset2/train_set\train-35.png,unmanned
dataset2/train_set\train-36.png,unmanned
dataset2/train_set\train-37.png,unmanned
dataset2/train_set\train-38.png,unmanned
dataset2/train_set\train-39.png,unmanned
dataset2/train_set\train-40.png,unmanned
dataset2/train_set\train-41.png,unmanned
dataset2/train_set\train-42.png,unmanned
dataset2/train_set\train-43.png,unmanned
dataset2/train_set\train-44.png,unmanned
dataset2/train_set\train-45.png,unmanned
dataset2/train_set\train-46.png,unmanned
dataset2/train_set\train-47.png,unmanned
dataset2/train_set\train-48.png,unmanned
dataset2/train_set\train-49.png,unmanned
dataset2/train_set\train-50.png,unmanned
dataset2/train_set\train-51.png,unmanned
dataset2/train_set\train-52.png,unmanned
dataset2/train_set\train-53.png,unmanned
dataset2/train_set\train-54.png,unmanned
dataset2/train_set\train-55.png,unmanned
dataset2/train_set\train-56.png,unmanned
dataset2/train_set\train-57.png,unmanned
dataset2/train_set\train-58.png,unmanned
dataset2/train_set\train-59.png,unmanned
dataset2/train_set\train-60.png,unmanned
dataset2/train_set\train-61.png,unmanned
dataset2/train_set\train-62.png,unmanned
dataset2/train_set\train-63.png,unmanned
dataset2/train_set\train-64.png,unmanned
dataset2/train_set\train-65.png,unmanned
dataset2/train_set\train-66.png,unmanned
dataset2/train_set\train-67.png,unmanned
dataset2/train_set\train-68.png,unmanned
dataset2/train_set\train-69.png,unmanned
dataset2/train_set\train-70.png,unmanned
dataset2/train_set\train-71.png,unmanned
dataset2/train_set\train-72.png,unmanned
dataset2/train_set\train-73.png,unmanned
dataset2/train_set\train-74.png,unmanned
dataset2/train_set\train-75.png,unmanned
dataset2/train_set\train-76.png,unmanned
dataset2/train_set\train-77.png,unmanned
dataset2/train_set\train-78.png,unmanned
dataset2/train_set\train-79.png,unmanned
dataset2/train_set\train-80.png,unmanned
dataset2/train_set\train-81.png,unmanned
dataset2/train_set\train-82.png,unmanned
dataset2/train_set\train-83.png,unmanned
dataset2/train_set\train-84.png,unmanned
dataset2/train_set\train-85.png,unmanned
dataset2/train_set\train-86.png,unmanned
dataset2/train_set\train-87.png,unmanned
dataset2/train_set\train-88.png,unmanned
dataset2/train_set\train-89.png,unmanned
dataset2/train_set\train-90.png,unmanned
dataset2/train_set\train-91.png,unmanned
dataset2/train_set\train-92.png,unmanned
dataset2/train_set\train-93.png,unmanned
dataset2/train_set\train-94.png,unmanned
dataset2/train_set\train-95.png,unmanned
dataset2/train_set\train-96.png,unmanned
dataset2/train_set\train-97.png,unmanned
dataset2/train_set\train-98.png,unmanned
dataset2/train_set\train-99.png,unmanned
dataset2/train_set\train-100.png,unmanned
dataset2/train_set\train-101.png,unmanned
dataset2/train_set\train-102.png,unmanned
dataset2/train_set\train-103.png,unmanned
dataset2/train_set\train-104.png,unmanned
dataset2/train_set\train-105.png,unmanned
dataset2/train_set\train-106.png,unmanned
dataset2/train_set\train-107.png,unmanned
dataset2/train_set\train-108.png,unmanned
dataset2/train_set\train-109.png,unmanned
dataset2/train_set\train-110.png,unmanned
dataset2/train_set\train-111.png,unmanned
dataset2/train_set\train-112.png,unmanned
dataset2/train_set\train-113.png,unmanned
dataset2/train_set\train-114.png,unmanned
dataset2/train_set\train-115.png,unmanned
dataset2/train_set\train-116.png,unmanned
dataset2/train_set\train-117.png,unmanned
dataset2/train_set\train-118.png,unmanned
dataset2/train_set\train-119.png,unmanned
dataset2/train_set\train-120.png,unmanned
dataset2/train_set\train-121.png,unmanned
dataset2/train_set\train-122.png,unmanned
dataset2/train_set\train-123.png,unmanned
dataset2/train_set\train-124.png,unmanned
dataset2/train_set\train-125.png,unmanned
dataset2/train_set\train-126.png,unmanned
dataset2/train_set\train-127.png,unmanned
dataset2/train_set\train-128.png,unmanned
dataset2/train_set\train-129.png,unmanned
dataset2/train_set\train-130.png,unmanned
dataset2/train_set\train-131.png,unmanned
dataset2/train_set\train-132.png,unmanned
dataset2/train_set\train-133.png,unmanned
dataset2/train_set\train-134.png,unmanned
dataset2/train_set\train-135.png,unmanned
dataset2/train_set\train-136.png,unmanned
dataset2/train_set\train-137.png,unmanned
dataset2/train_set\train-138.png,unmanned
dataset2/train_set\train-139.png,unmanned
dataset2/train_set\train-140.png,unmanned
dataset2/train_set\train-141.png,unmanned
dataset2/train_set\train-142.png,unmanned
dataset2/train_set\train-143.png,unmanned
dataset2/train_set\train-144.png,unmanned
dataset2/train_set\train-145.png,unmanned
dataset2/train_set\train-146.png,unmanned
dataset2/train_set\train-147.png,unmanned
dataset2/train_set\train-148.png,unmanned
dataset2/train_set\train-149.png,unmanned
dataset2/train_set\train-150.png,unmanned
dataset2/train_set\train-151.png,unmanned
dataset2/train_set\train-152.png,unmanned
dataset2/train_set\train-153.png,unmanned
dataset2/train_set\train-154.png,unmanned
dataset2/train_set\train-155.png,unmanned
dataset2/train_set\train-156.png,unmanned
dataset2/train_set\train-157.png,unmanned
dataset2/train_set\train-158.png,unmanned
dataset2/train_set\train-159.png,unmanned
dataset2/train_set\train-160.png,unmanned
dataset2/train_set\train-161.png,unmanned
dataset2/train_set\train-162.png,unmanned
dataset2/train_set\train-163.png,unmanned
dataset2/train_set\train-164.png,unmanned
dataset2/train_set\train-165.png,unmanned
dataset2/train_set\train-166.png,unmanned
